Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter,Families Requesting Temporary Housing at PATH,Adult Families Requesting Temporary Housing at AFIC
09/01/2013,28259,21403,49662,6997,2672,9669,10326,14719,21403,36122,1822,3871,86,9
08/31/2013,28127,21335,49462,6949,2661,9610,10287,14662,21335,35997,1815,3855,141,6
08/30/2013,28182,21343,49525,7032,2653,9685,10281,14651,21343,35994,1811,3846,122,10
08/29/2013,28396,21412,49808,7151,2709,9860,10316,14696,21412,36108,1807,3840,127,16
08/28/2013,28428,21325,49753,7229,2721,9950,10284,14647,21325,35972,1803,3831,140,10
08/27/2013,28414,21322,49736,7209,2713,9922,10277,14640,21322,35962,1813,3852,149,12
08/26/2013,28485,21392,49877,7252,2704,9956,10307,14688,21392,36080,1809,3841,124,14
08/25/2013,28458,21400,49858,7230,2704,9934,10324,14694,21400,36094,1804,3830,67,10
08/24/2013,28274,21343,49617,7110,2690,9800,10291,14650,21343,35993,1801,3824,110,8
08/23/2013,28257,21291,49548,7149,2671,9820,10266,14611,21291,35902,1802,3826,146,10
08/22/2013,28366,21324,49690,7201,2716,9917,10274,14622,21324,35946,1803,3827,120,20
08/21/2013,28359,21314,49673,7231,2710,9941,10261,14607,21314,35921,1796,3811,165,14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
